bank_name,close_price,high_price,low_price,open_price,volume,SMA,EMA,Returns,Volatility
BMO,-0.0036218042649967547,-0.019525242893279122,-0.007215633441892954,-0.015773123386347856,-0.9194493664682252,,0.05703196251908645,,
BMO,-0.005722573297223355,-0.02266290599162966,0.001501489785323947,-0.01550960583200769,-1.03018001766501,,0.056988272945295855,-0.027828073060003417,
BMO,-0.010187523591512284,-0.010109913186243222,0.007840824114191196,-0.003938055748323507,-1.1817330287500103,,0.056852591194874944,-0.05961017243136789,
BMO,0.008986325439533198,0.005581712105211488,0.01285987733981929,-0.004726847674128296,-1.050285029909956,,0.05711835365691171,0.2571049049686792,
BMO,0.018703951638210845,0.009242724019714717,0.02950030706668519,0.02104571668385161,-0.8477040689646864,,0.05758095041395157,0.12976884326314092,
BMO,0.017915723812229577,0.004012051907327526,0.025009673932140195,0.018152528902541983,-0.9975561483876777,,0.0580179941100118,-0.010133540576835838,
BMO,0.03840211404952039,0.020487625995397028,0.029499751648491324,0.018941215507396806,-0.02564379671574557,,0.058872437765213184,0.27173086957901776,
BMO,0.051797216040327915,0.03565587075005826,0.052479867498245875,0.03971715135878012,-0.766195423721216,,0.05998853891646953,0.17667465519170047,
BMO,0.05967723432867395,0.04585566429380268,0.06938522276168727,0.05128910502733438,-0.8321575535739243,,0.06124641934590211,0.10366764761175822,
BMO,0.06886954271532458,0.05422397653417961,0.07915806502999019,0.06522701214555686,-0.8048746097153002,,0.06267056316540727,0.12049449153169309,
BMO,0.08042653457991901,0.06363913177380265,0.08945983208629946,0.07364294301907694,-0.8946497828361343,,0.06430685621809823,0.15082605245229241,
BMO,0.07254701850745446,0.07933046758585197,0.0921012376350002,0.07627282744936034,-0.8791372860786124,,0.0657468775816441,-0.10218021005311634,
BMO,0.09460961328876706,0.07906921420099562,0.09236555861316324,0.08021780178481455,-0.9495898755190244,,0.06761721819645718,0.28667689146775477,
BMO,0.09618531561690738,0.08717600363921219,0.1071569687879435,0.09573362436399023,-1.0461347566546542,,0.06948329215493354,0.020708016510693386,
