Price,Close,High,Low,Open,Volume
Ticker,BNS.TO,BNS.TO,BNS.TO,BNS.TO,BNS.TO
Date,,,,,
2020-01-02,42.06402587890625,42.143973261404795,41.93268238337972,42.05831671872098,4401600
2020-01-03,42.0240364074707,42.0697206074005,41.73850742363847,41.829875823498064,5439200
2020-01-06,42.52066421508789,42.632220559027175,42.326908898282575,42.49130962091314,1564200
2020-01-07,42.121402740478516,42.50304294415542,42.06856114789031,42.3914866196483,4428600
2020-01-08,42.503047943115234,42.76726149092758,42.09792068826286,42.12728083457351,3991300
2020-01-09,42.43846893310547,42.75552412523344,42.34452644826024,42.655711276422416,2906200
2020-01-10,42.26819610595703,42.40910704131381,42.11553889012258,42.3621358038954,3267600
2020-01-13,42.43846893310547,42.43846893310547,42.162514619434326,42.30929871066797,4183900
2020-01-14,42.33864974975586,42.55001892058405,42.23883691587843,42.467819952867444,2526300
2020-01-15,42.44434356689453,42.44434356689453,42.1683864666182,42.25645859059546,2353200
2020-01-16,42.59112548828125,42.608739356797436,42.397370157704444,42.50892650957279,2077100
2020-01-17,42.55588912963867,42.70854355148487,42.467817028001974,42.64395845437722,2719300
2020-01-20,42.65570831298828,42.69093604813317,42.45020948877837,42.45020948877837,736100
2020-01-21,42.64396286010742,42.70854796388763,42.56763425284941,42.591121259805,1346200
2020-01-22,43.066707611083984,43.13716586097123,42.561767465003626,42.64396644245652,2837100
2020-01-23,43.125423431396484,43.137166936153506,42.890567220749716,42.95515233156524,1787700
2020-01-24,43.06084060668945,43.24872558518172,42.90231300319897,43.13716922631429,1713700
2020-01-27,43.01973342895508,43.03147693261651,42.59699228922955,42.62634965993391,1604900
2020-01-28,42.92578887939453,43.14890155368925,42.86120377772492,43.090189592015825,1926200
2020-01-29,42.82010269165039,43.090186582559966,42.82010269165039,43.002114480853336,2680200
2020-01-30,42.626346588134766,42.86707312290508,42.450205153500434,42.596989219545996,2439100
2020-01-31,42.43846893310547,42.55589842761139,42.262327468245346,42.52066791312036,2692200
2020-02-03,42.43846893310547,42.661581640388206,42.420855064309336,42.514797549154565,2808300
2020-02-04,42.849464416503906,42.896435656521945,42.767265440696995,42.84359405283863,2970000
2020-02-05,43.03734588623047,43.143031861924534,42.86707480786181,43.060832892783985,2390800
2020-02-06,43.471824645996094,43.48943851008389,43.1019251694584,43.15476953861979,2617900
2020-02-07,43.65383529663086,43.69493616303757,43.30742283243894,43.33090983521361,3844400
2020-02-10,43.65383529663086,43.771264756708355,43.61273720712209,43.74190739168898,1309400
2020-02-11,43.61274719238281,43.77127477826442,43.61274719238281,43.71256003478277,2320900
2020-02-12,43.824119567871094,43.8593473057622,43.59513649468016,43.67146511137673,2241100
2020-02-13,43.85347366333008,43.882831035010874,43.63623133441102,43.68907571419589,2215300
2020-02-14,43.87696075439453,43.98851710085335,43.74778776337507,43.86521725032029,1144500
2020-02-18,43.812374114990234,43.92980360527122,43.6714631696909,43.82411761939806,2493200
2020-02-19,43.8182487487793,43.95916247577901,43.771277506446054,43.86521999111253,1528400
2020-02-20,43.8182487487793,43.96503283973363,43.75366363768344,43.78302101125406,1762800
2020-02-21,43.589263916015625,43.84173400232304,43.52467880341594,43.718434141214985,1685100
2020-02-24,42.949275970458984,43.17825900830406,42.8142326268567,42.86707422553672,2967200
2020-02-25,42.55588912963867,43.20761324029652,42.28580523894354,43.17825587308429,3567300
2020-02-26,42.5676383972168,43.15478030548917,42.450211681701546,42.54415416487323,3896500
2020-02-27,41.93352127075195,42.26819304871298,41.264183268626404,42.22121903779372,2810700
2020-02-28,41.22895431518555,41.77499527838321,40.42457294357947,41.07042674149886,6621300
