bank_name,close_price,high_price,low_price,open_price,volume,SMA,EMA,Returns,Volatility
BMO,0.3538218023495989,0.3429786221920494,0.3520902127483323,0.3438673765071709,0.043926366650479165,,0.34378057329587125,,
BMO,0.3534064160353616,0.3423502948970289,0.3538164401577719,0.34391981064241317,0.03255435333247155,,0.3437710263581059,0.8902870037231939,
BMO,0.35252355874950747,0.34486407275226355,0.3550718007154757,0.34622229187016085,0.016989892708286023,,0.3437413775170947,0.8897225534844273,
BMO,0.3563148153591448,0.348006372025579,0.3560657097175264,0.3460653398119983,0.030489573034178926,,0.3437994512739501,0.8953474147930076,
BMO,0.3582362873857613,0.34873950163228756,0.3593609672412107,0.3511935071876756,0.051294592791086856,,0.3439005367748315,0.8930859257203867,
BMO,0.35808043062740713,0.34769204243845525,0.35847169978444404,0.3506178271355963,0.03590481747132541,,0.3439960384839355,0.8906012587057954,
BMO,0.3621312167929277,0.3509913300216599,0.359360857253307,0.35077475823723103,0.13572000041924476,,0.34418274940126575,0.8956071719953256,
BMO,0.36477983830221294,0.35402882063112523,0.3639115449994764,0.35490870761659266,0.05966551257908877,,0.34442663706842297,0.8939189731674183,
BMO,0.36633795902024835,0.35607136263969136,0.36725926498248096,0.35721126914875756,0.05289121647352295,,0.3447015059932976,0.8926223683592015,
BMO,0.36815555964244406,0.35774714452865436,0.3691945534660718,0.35998460282157696,0.055693168756485195,,0.34501270638355314,0.8929212131887175,
BMO,0.3704407305397023,0.35963256015119865,0.37123458343865945,0.36165918597682967,0.04647327838898225,,0.34537026510030316,0.8934599018575731,
BMO,0.3688827091251128,0.36277480145531654,0.3717576535546556,0.36218247451536456,0.04806640836532986,,0.3456849350122699,0.8889665094100843,
BMO,0.37324515915561884,0.362722484610749,0.3718099962949728,0.36296743671019926,0.040830943056084465,,0.3460936372242717,0.8958726134164581,
BMO,0.3735567237171584,0.3643458957034484,0.3747390976742271,0.3660547404822312,0.030915805176973687,,0.34650140709706817,0.8911490049090457,
BMO,0.37277778748744805,0.3635080266638852,0.37285613013764785,0.36610716049939473,0.07622218573240308,,0.3468831998135797,0.8898829262710982,
BMO,0.3715832166848856,0.3635079511239984,0.37322220118340665,0.36605474539427674,0.05842874062376628,,0.34722997712937936,0.8893977811668737,
BMO,0.36836335210300863,0.35853276500504555,0.36914228798488113,0.35930439769807543,0.13866868835792323,,0.3474958845354679,0.8870264614908089,
BMO,0.37002524492201905,0.36057522812639525,0.3701361405643262,0.36249645783433304,0.15254918264746062,,0.34779472218754187,0.8927313502314265,
BMO,0.36883082307462534,0.3602087104880182,0.37086850706074104,0.3626011725488527,0.12097306701976389,,0.348060190536925,0.8893908467425679,
BMO,0.3682075449963774,0.3577995671563275,0.36851458035399753,0.3597753241895304,0.04351410933203833,,0.34830607711602585,0.8900574062588881,
BMO,0.36096648667586084,0.35468481313587524,0.3625690485954658,0.35801820335810997,0.05626613655499617,,0.34838067142148293,0.8822440098262497,
BMO,0.35886750973968196,0.35357354639007815,0.36161767779163023,0.35516308308437783,0.12503624720066803,,0.34840554724847467,0.888289059522929,
BMO,0.3628553871722192,0.3542085197449247,0.364682912657604,0.356061876586346,0.08538268309640183,,0.34852158496732083,0.8955255485940475,
BMO,0.3656888620460641,0.35701290093551946,0.3671667946020607,0.35881116567996996,0.07457315645863977,,0.34870044744092726,0.8941324010595804,
BMO,0.36904710597981516,0.3582299272419403,0.3694393348886943,0.35933990956033823,0.08163743016954957,,0.34895295152620015,0.8947290138720324,
BMO,0.3691519704186951,0.3581240561920335,0.36928073326816635,0.3602915231566285,0.022244426665362353,,0.34920286565878117,0.8909100722147759,
BMO,0.36736803366466264,0.3580712220671239,0.3685409443060199,0.3607145891801531,0.057604225986884625,,0.3494068302881988,0.8886970356911641,
BMO,0.3674204658841026,0.35875906851115685,0.36996779066122576,0.3610317495898673,0.04937654814851046,,0.34960796107816566,0.8908489251762743,
BMO,0.36689574647591927,0.3571187628339751,0.368065265813593,0.3609788997086403,0.06156259498513428,,0.34979304930991567,0.8901712767723154,
BMO,0.36526915603192966,0.35563722530547165,0.3661627354739041,0.35748947575432977,0.10014359132023659,,0.34993708805317286,0.8888736468266315,
BMO,0.3655839976071842,0.3550023152048774,0.3668498175017104,0.3577538284246098,0.011543204916343208,,0.3500855106344983,0.891158264688344,0.0032595024432398485
BMO,0.3629077697399362,0.35431422656871986,0.36536987048781344,0.35743642645077134,0.07203672583840212,,0.3501694856745841,0.8876278552625577,0.003686004119881049
BMO,0.3618058987041297,0.3554783997792444,0.3644714868412029,0.3593398529860987,0.031841637290421304,,0.35022647323789285,0.8894819023026598,0.0037124075670534225
BMO,0.3626455589910135,0.35156292264095895,0.36325607971509866,0.354211472076176,0.04689601682568852,,0.3503016304776268,0.8917824542964335,0.0030837485710078043
BMO,0.360913955152975,0.3527269997150149,0.363097519384566,0.3546873094119074,0.06003235171837934,,0.3503355015285127,0.8887335681510716,0.0031016148608665924
BMO,0.353305523734318,0.3475414659946862,0.35596289269721026,0.34876574925235615,0.09122415967634308,,0.35019383519621566,0.8816828736759488,0.005875079562319183
BMO,0.34165673301196087,0.3428321736635744,0.34185227932709816,0.3446418178435615,0.09771895929483036,,0.34978724678077205,0.8765876317054905,0.010412986166567773
BMO,0.3335235325333977,0.3330960793541647,0.33334359741739883,0.3344906009984622,0.09779931453486544,,0.34920178204031976,0.8806795983047626,0.012043834409007557
BMO,0.32203233637969825,0.31796306133376123,0.32018440765155687,0.3215902491653656,0.06278539211610284,,0.34836380534327344,0.8762237236831971,0.015674749649477394
