,Market Cap,PE Ratio,Dividend Yield,Beta
TD,143508193280.0,17.372883,0.0512,0.822
BMO,101806546944.0,14.665615,0.0462,1.16
RBC,240351838208.0,15.391304,0.0323,0.842
CIBC,83221135360.0,12.130494,0.0402,1.128
Scotiabank,97809326080.0,12.243612,0.0531,0.978
