"st_pr_id","stock_ticker","date","close_price","high_price","low_price","open_price","volume"
1,"BMO.TO","2020-01-03","80.27942657470703","80.33528676800852","79.5931407208292","79.88042345446664",1473000
2,"BMO.TO","2020-01-06","80.2155990600586","80.23954436576099","79.85649862249471","79.88841960845903",1147500
3,"BMO.TO","2020-01-07","80.07994079589844","80.62258538989624","80.04801980939202","80.23954572843053",702000
4,"BMO.TO","2020-01-08","80.6624984741211","81.10139839609874","80.19965324296813","80.2156106941119",1088400
5,"BMO.TO","2020-01-09","80.95774841308594","81.21311022250089","80.702386603671","80.99765116918125",1683900
6,"BMO.TO","2020-01-10","80.93379974365234","81.05350190965419","80.56671756600375","80.90986052811299",1243400
7,"BMO.TO","2020-01-13","81.55623626708984","81.55623626708984","80.70236982362026","80.93379236658177",4100400
8,"BMO.TO","2020-01-14","81.96321868896484","82.01907888121661","81.39663499946704","81.56421557622235",1923500
9,"BMO.TO","2020-01-15","82.20263671875","82.33031457022996","81.90737217422549","81.91535394253842",1729600
10,"BMO.TO","2020-01-16","82.48192596435547","82.58566458440842","82.20262499628637","82.33828459673357",1809800
11,"BMO.TO","2020-01-17","82.83306121826172","82.87295788261139","82.51385746193809","82.59365687894268",1545900
12,"BMO.TO","2020-01-20","82.59365844726562","83.35176205566233","82.59365844726562","82.67345786578548",1591500
13,"BMO.TO","2020-01-21","83.26398468017578","83.34379019065408","82.60164399666773","82.79316382754321",1384400
14,"BMO.TO","2020-01-22","83.31185913085938","83.59116011884609","83.04851559005552","83.263974612701",1100600
15,"BMO.TO","2020-01-23","83.19216918945312","83.46348844955472","82.76124499255135","83.27196861370031",2397400
16,"BMO.TO","2020-01-24","83.00861358642578","83.46347693904056","82.81709377698402","83.26397536178311",1888100
17,"BMO.TO","2020-01-27","82.51385498046875","82.70537479318119","82.19465123374465","82.23455398519957",4184800
18,"BMO.TO","2020-01-28","82.76921844482422","83.01659846162552","82.34627605933612","82.72134001274789",4582100
19,"BMO.TO","2020-01-29","82.58568572998047","82.96074973526522","82.45800786401679","82.73730890359926",3678300
20,"BMO.TO","2020-01-30","82.48991394042969","82.5936525682909","82.09888646739638","82.30636981142376",1461200
21,"BMO.TO","2020-01-31","81.37726593017578","82.11903681517694","81.1918201332331","82.03841061487417",1826200
22,"BMO.TO","2020-02-03","81.05474090576172","81.9497057219337","81.04667644171606","81.60300758457532",3794600
23,"BMO.TO","2020-02-04","81.66751098632812","82.04646082844899","81.51431692639407","81.74007270858087",2659600
24,"BMO.TO","2020-02-05","82.10289764404297","82.47378301249725","81.89326464400061","82.1593365881255",2350200
25,"BMO.TO","2020-02-06","82.6189193725586","82.65922939227191","82.23996950922601","82.23996950922601",2552400
26,"BMO.TO","2020-02-07","82.6350326538086","82.64309711737812","82.21577281894373","82.38508964560359",852400
27,"BMO.TO","2020-02-10","82.36091613769531","82.63504643092922","82.10290862290513","82.44960679759673",1864500
28,"BMO.TO","2020-02-11","82.36897277832031","82.73985816113901","82.32059214481612","82.49797344776935",1629000
29,"BMO.TO","2020-02-12","82.28834533691406","82.48991389292367","82.03033783127715","82.48991389292367",1977800
30,"BMO.TO","2020-02-13","82.03840637207031","82.26416218179652","81.74008267985529","81.95778017593732",3082100
31,"BMO.TO","2020-02-14","82.08678436279297","82.16741671375168","81.844905764071","81.99809369784616",546100
32,"BMO.TO","2020-02-18","81.6755599975586","82.06256807911964","81.61912106269","81.94969020938245",2277600
33,"BMO.TO","2020-02-19","81.5062484741211","82.23996088171019","81.4820612345537","82.23996088171019",1127100
34,"BMO.TO","2020-02-20","81.63526916503906","81.6433336300603","81.29663545076079","81.45788784287869",1558000
35,"BMO.TO","2020-02-21","81.36919403076172","81.82071178369875","81.27244505979138","81.53045256801931",1934000
36,"BMO.TO","2020-02-24","80.2000961303711","81.0305575770387","80.18396720150112","80.62742047466539",2826800
37,"BMO.TO","2020-02-25","78.41016387939453","80.31297143325713","78.03121403118017","79.99852499567154",3012700
